kb8_s67167	Protein disulfide-isomerase OS=Oryctolagus cuniculus OX=9986 GN=P4HB PE=2 SV=1 E(blastx)=4e-09
kb8_c11976	1,4-alpha-glucan-branching enzyme OS=Yarrowia lipolytica (strain CLIB 122 / E 150) OX=284591 GN=GLC3 PE=3 SV=1 E(blastx)=7e-24
kb8_c30862	DDB1- and CUL4-associated factor 6 OS=Mus musculus OX=10090 GN=Dcaf6 PE=1 SV=1 E(blastx)=2e-05
kb8_rep_c21190	Phytanoyl-CoA dioxygenase, peroxisomal OS=Bos taurus OX=9913 GN=PHYH PE=2 SV=2 E(blastx)=1e-09
kb8_rep_c5356	Importin-5 OS=Mus musculus OX=10090 GN=Ipo5 PE=1 SV=3 E(blastx)=3e-64
kb8_s57921	Electroneutral sodium bicarbonate exchanger 1 OS=Homo sapiens OX=9606 GN=SLC4A8 PE=1 SV=1 E(blastx)=4e-09
kb8_c12231	Senescence-specific cysteine protease SAG39 OS=Oryza sativa subsp. japonica OX=39947 GN=SAG39 PE=2 SV=2 E(blastx)=6e-43
kb8_c28157	Cell wall protein DAN4 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=DAN4 PE=2 SV=1 E(blastx)=1e-07
kb8_c8724	Glycogen phosphorylase, muscle form OS=Rattus norvegicus OX=10116 GN=Pygm PE=1 SV=5 E(blastx)=1e-11
kb8_rep_c673	Atlastin-3 OS=Mus musculus OX=10090 GN=Atl3 PE=1 SV=1 E(blastx)=2e-30
kb8_s53402	ATP-dependent RNA helicase MAK5 OS=Cryptococcus neoformans var. neoformans serotype D (strain B-3501A) OX=283643 GN=MAK5 PE=3 SV=1 E(blastx)=3e-11
kb8_c29470	Vacuolar protein sorting-associated protein 16 homolog OS=Dictyostelium discoideum OX=44689 GN=vps16 PE=3 SV=2 E(blastx)=7e-18
kb8_rep_c52928	Crinkler effector protein 63 OS=Phytophthora sojae (strain P6497) OX=1094619 GN=CRN63 PE=1 SV=1 E(blastx)=8e-05
kb8_c5328	Glycine betaine/proline/choline/ectoine transporter VP1456 OS=Vibrio parahaemolyticus serotype O3:K6 (strain RIMD 2210633) OX=223926 GN=VP1456 PE=1 SV=1 E(blastx)=2e-78
kb8_rep_c3315	4-pyridoxate dehydrogenase OS=Mesorhizobium japonicum (strain LMG 29417 / CECT 9101 / MAFF 303099) OX=266835 GN=padh1 PE=1 SV=1 E(blastx)=2e-53
kb8_rep_c11303	Cytochrome c1-2, heme protein, mitochondrial (Fragment) OS=Solanum tuberosum OX=4113 GN=CYCL PE=1 SV=1 E(blastx)=2e-86
kb8_rep_c4373	Pumilio homolog 2 OS=Mus musculus OX=10090 GN=Pum2 PE=1 SV=2 E(blastx)=2e-20
kb8_c28587	Insulin-degrading enzyme OS=Bos taurus OX=9913 GN=IDE PE=2 SV=1 E(blastx)=5e-104
kb8_c14205	Polyubiquitin-B OS=Equus caballus OX=9796 GN=UBB PE=2 SV=3 E(blastx)=3e-31
kb8_c13977	Pyridoxal 4-dehydrogenase OS=Mesorhizobium japonicum (strain LMG 29417 / CECT 9101 / MAFF 303099) OX=266835 GN=pldh-t PE=1 SV=1 E(blastx)=6e-42
kb8_s69036	Calmodulin-like protein 4 OS=Oryza sativa subsp. japonica OX=39947 GN=CML4 PE=2 SV=1 E(blastx)=4e-11
kb8_s61704	Dynein heavy chain 6, axonemal OS=Homo sapiens OX=9606 GN=DNAH6 PE=2 SV=3 E(blastx)=1e-41
kb8_s59962	Phosphoglucomutase, cytoplasmic 1 OS=Zea mays OX=4577 PE=2 SV=2 E(blastx)=5e-06
kb8_c39981	2-(hydroxymethyl)glutarate dehydrogenase OS=Eubacterium barkeri OX=1528 GN=Hgd PE=1 SV=1 E(blastx)=3e-06
kb8_c32474	DEAD-box ATP-dependent RNA helicase 24 OS=Oryza sativa subsp. japonica OX=39947 GN=Os03g0308500 PE=2 SV=1 E(blastx)=7e-99
kb8_c43129	Heat shock 70 kDa protein OS=Trypanosoma cruzi OX=5693 GN=HSP70 PE=3 SV=1 E(blastx)=1e-22
kb8_rep_c1698	Sphingolipid delta(4)-desaturase DES1-like OS=Oryza sativa subsp. japonica OX=39947 GN=Os02g0639600 PE=2 SV=1 E(blastx)=5e-103
kb8_c24375	Probable glutamine amidotransferase DUG3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=DUG3 PE=1 SV=1 E(blastx)=7e-20
kb8_rep_c5166	Phosphatidylinositol transfer protein 3 OS=Dictyostelium discoideum OX=44689 GN=pitC PE=2 SV=1 E(blastx)=2e-20
kb8_rep_c5208	Calcium-dependent protein kinase 20 OS=Oryza sativa subsp. japonica OX=39947 GN=CPK20 PE=2 SV=2 E(blastx)=5e-45
kb8_rep_c4079	60S ribosomal protein L9 OS=Oryza sativa subsp. japonica OX=39947 GN=RPL9 PE=2 SV=3 E(blastx)=1e-67
kb8_c9065	DnaJ homolog 1, mitochondrial OS=Emericella nidulans (strain FGSC A4 / ATCC 38163 / CBS 112.46 / NRRL 194 / M139) OX=227321 GN=AN10778 PE=3 SV=1 E(blastx)=3e-11
kb8_c31362	DNA repair and recombination protein RAD54 OS=Oryza sativa subsp. japonica OX=39947 GN=RAD54 PE=1 SV=1 E(blastx)=5e-107
kb8_c29536	Gastricsin OS=Homo sapiens OX=9606 GN=PGC PE=1 SV=1 E(blastx)=1e-21
kb8_c23256	Lysophospholipase-like protein 1 OS=Homo sapiens OX=9606 GN=LYPLAL1 PE=1 SV=3 E(blastx)=1e-37
kb8_c12950	V-type proton ATPase 116 kDa subunit a isoform 4 OS=Homo sapiens OX=9606 GN=ATP6V0A4 PE=1 SV=2 E(blastx)=6e-45
kb8_c10273	Baeyer-Villiger monooxygenase OS=Streptomyces coelicolor (strain ATCC BAA-471 / A3(2) / M145) OX=100226 GN=SCO3172 PE=1 SV=1 E(blastx)=1e-10
kb8_rep_c4745	Long-chain-fatty-acid--CoA ligase OS=Bacillus subtilis (strain 168) OX=224308 GN=lcfB PE=2 SV=2 E(blastx)=2e-62
kb8_c31992	SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A-like protein 1 OS=Drosophila melanogaster OX=7227 GN=Marcal1 PE=1 SV=2 E(blastx)=2e-23
kb8_rep_c16358	Maternal protein pumilio OS=Drosophila melanogaster OX=7227 GN=pum PE=1 SV=2 E(blastx)=1e-24
kb8_c27417	Heat shock protein homolog SSE1 OS=Naumovozyma castellii (strain ATCC 76901 / CBS 4309 / NBRC 1992 / NRRL Y-12630) OX=1064592 GN=SSE1 PE=3 SV=1 E(blastx)=4e-09
kb8_rep_c34006	Probable 6-phosphogluconolactonase OS=Dictyostelium discoideum OX=44689 GN=pgl PE=3 SV=1 E(blastx)=2e-06
kb8_c43993	Probable small nuclear ribonucleoprotein F OS=Arabidopsis thaliana OX=3702 GN=At4g30220 PE=3 SV=1 E(blastx)=9e-39
kb8_c18080	Egl nine homolog 1 OS=Homo sapiens OX=9606 GN=EGLN1 PE=1 SV=1 E(blastx)=5e-24
kb8_rep_c14325	Survival of motor neuron-related-splicing factor 30 OS=Xenopus tropicalis OX=8364 GN=smndc1 PE=2 SV=1 E(blastx)=2e-07
kb8_rep_c14395	Twitchin OS=Caenorhabditis elegans OX=6239 GN=unc-22 PE=1 SV=3 E(blastx)=6e-12
kb8_s57067	Retinal rod rhodopsin-sensitive cGMP 3',5'-cyclic phosphodiesterase subunit delta OS=Bos taurus OX=9913 GN=PDE6D PE=1 SV=1 E(blastx)=4e-12
kb8_s69914	RNA helicase aquarius OS=Mus musculus OX=10090 GN=Aqr PE=1 SV=2 E(blastx)=5e-12
kb8_rep_c22621	Probable glucomannan 4-beta-mannosyltransferase 7 OS=Oryza sativa subsp. japonica OX=39947 GN=CSLA7 PE=2 SV=1 E(blastx)=4e-07
kb8_rep_c8935	Ankyrin repeat family A protein 2 OS=Homo sapiens OX=9606 GN=ANKRA2 PE=1 SV=1 E(blastx)=4e-06
kb8_rep_c20484	Pro-cathepsin H OS=Medicago truncatula OX=3880 GN=CP PE=1 SV=1 E(blastx)=2e-05
kb8_rep_c22244	Vesicle transport v-SNARE 11 OS=Arabidopsis thaliana OX=3702 GN=VTI11 PE=1 SV=2 E(blastx)=3e-12
kb8_c5312	Cysteine proteinase 3 OS=Solanum lycopersicum OX=4081 GN=CYP-3 PE=2 SV=1 E(blastx)=1e-89
kb8_c33246	Sex-lethal homolog OS=Chrysomya rufifacies OX=45450 GN=SXL PE=2 SV=2 E(blastx)=7e-06
kb8_c31226	L-threonine dehydratase biosynthetic IlvA OS=Burkholderia multivorans (strain ATCC 17616 / 249) OX=395019 GN=ilvA PE=3 SV=1 E(blastx)=1e-130
kb8_c8825	UDP-N-acetylglucosamine--peptide N-acetylglucosaminyltransferase 110 kDa subunit OS=Mus musculus OX=10090 GN=Ogt PE=1 SV=2 E(blastx)=1e-11
kb8_s67830	Calmodulin OS=Pneumocystis carinii OX=4754 PE=3 SV=1 E(blastx)=1e-11
kb8_rep_c4610	Dinoflagellate viral nucleoprotein 5 OS=Hematodinium sp. OX=173654 PE=1 SV=1 E(blastx)=3e-15
kb8_c18817	Calcium-dependent protein kinase 4 OS=Plasmodium yoelii yoelii OX=73239 GN=CPK4 PE=3 SV=3 E(blastx)=1e-44
kb8_rep_c7562	Calcium-activated potassium channel subunit alpha-1 OS=Mus musculus OX=10090 GN=Kcnma1 PE=1 SV=2 E(blastx)=3e-18
kb8_c39411	Diphthine methyltransferase homolog OS=Dictyostelium discoideum OX=44689 GN=wdr85 PE=3 SV=1 E(blastx)=4e-11
kb8_rep_c18529	Ammonium transporter OS=Bacillus subtilis (strain 168) OX=224308 GN=nrgA PE=1 SV=1 E(blastx)=7e-60
kb8_c23745	Pentatricopeptide repeat-containing protein At2g31400, chloroplastic OS=Arabidopsis thaliana OX=3702 GN=At2g31400 PE=2 SV=1 E(blastx)=4e-07
kb8_s59395	Nitrite reductase (NADH) large subunit OS=Escherichia coli (strain K12) OX=83333 GN=nirB PE=3 SV=4 E(blastx)=1e-10
kb8_c15967	Autophagy-related protein 101 OS=Arabidopsis thaliana OX=3702 GN=ATG101 PE=1 SV=1 E(blastx)=4e-09
kb8_rep_c37556	DNA annealing helicase and endonuclease ZRANB3 OS=Mus musculus OX=10090 GN=Zranb3 PE=1 SV=1 E(blastx)=2e-05
kb8_rep_c10655	Probable 3-hydroxybutyryl-CoA dehydrogenase OS=Bacillus subtilis (strain 168) OX=224308 GN=mmgB PE=2 SV=1 E(blastx)=3e-22
kb8_c23797	U-box domain-containing protein 51 OS=Arabidopsis thaliana OX=3702 GN=PUB51 PE=2 SV=2 E(blastx)=1e-17
kb8_c6817	Sodium channel protein type 11 subunit alpha OS=Rattus norvegicus OX=10116 GN=Scn11a PE=1 SV=1 E(blastx)=2e-07
kb8_s54905	Cilia- and flagella-associated protein 57 OS=Mus musculus OX=10090 GN=Cfap57 PE=1 SV=3 E(blastx)=5e-27
kb8_s64591	Glutamine--fructose-6-phosphate aminotransferase [isomerizing] OS=Chlorobaculum tepidum (strain ATCC 49652 / DSM 12025 / NBRC 103806 / TLS) OX=194439 GN=glmS PE=3 SV=3 E(blastx)=2e-31
kb8_c19970	RNA helicase Mov10l1 OS=Mus musculus OX=10090 GN=Mov10l1 PE=1 SV=1 E(blastx)=5e-31
kb8_rep_c1968	Calcium-dependent protein kinase 2 OS=Plasmodium falciparum (isolate K1 / Thailand) OX=5839 GN=CPK2 PE=1 SV=3 E(blastx)=6e-160
kb8_c39343	S-adenosylmethionine:tRNA ribosyltransferase-isomerase OS=Treponema denticola (strain ATCC 35405 / CIP 103919 / DSM 14222) OX=243275 GN=queA PE=3 SV=1 E(blastx)=5e-36
kb8_rep_c5262	Glycogenin-1 OS=Caenorhabditis elegans OX=6239 GN=gyg-1 PE=1 SV=1 E(blastx)=6e-16
kb8_rep_c3531	Ankyrin repeat domain-containing protein 10 OS=Gallus gallus OX=9031 GN=ANKRD10 PE=2 SV=1 E(blastx)=5e-09
kb8_c5790	AP-2 complex subunit mu OS=Dictyostelium discoideum OX=44689 GN=apm2 PE=2 SV=2 E(blastx)=5e-153
kb8_c40070	Pentatricopeptide repeat-containing protein At2g41720 OS=Arabidopsis thaliana OX=3702 GN=EMB2654 PE=2 SV=1 E(blastx)=2e-13
kb8_s66981	Radial spoke head 1 homolog OS=Mus musculus OX=10090 GN=Rsph1 PE=1 SV=2 E(blastx)=2e-14
kb8_c7898	Proprotein convertase subtilisin/kexin type 5 OS=Branchiostoma californiense OX=7738 GN=PC6 PE=2 SV=1 E(blastx)=6e-15
kb8_s61525	Heat shock 70 kDa protein OS=Chlamydomonas reinhardtii OX=3055 GN=HSP70 PE=2 SV=2 E(blastx)=7e-37
kb8_rep_c1295	Peroxisomal membrane protein 11E OS=Arabidopsis thaliana OX=3702 GN=PEX11E PE=1 SV=1 E(blastx)=1e-06
kb8_rep_c21610	Ribose-phosphate pyrophosphokinase A OS=Dictyostelium discoideum OX=44689 GN=prsA PE=1 SV=1 E(blastx)=9e-91
kb8_rep_c21027	TBC1 domain family member 2A OS=Mus musculus OX=10090 GN=Tbc1d2 PE=2 SV=1 E(blastx)=3e-32
kb8_rep_c2810	Ankyrin repeat protein 14 OS=Vaccinia virus (strain Western Reserve) OX=10254 GN=VACWR014 PE=4 SV=1 E(blastx)=7e-07
kb8_c41931	L-amino acid dehydrogenase OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=slr0782 PE=1 SV=1 E(blastx)=7e-08
kb8_rep_c5257	Heterogeneous nuclear ribonucleoprotein U OS=Rattus norvegicus OX=10116 GN=Hnrnpu PE=1 SV=1 E(blastx)=5e-11
kb8_rep_c1981	Phospholipase B-like protein B OS=Dictyostelium discoideum OX=44689 GN=plbB PE=3 SV=1 E(blastx)=5e-98
kb8_s62726	S-adenosylmethionine synthase 1 OS=Picea sitchensis OX=3332 GN=METK1 PE=2 SV=1 E(blastx)=2e-39
kb8_s55864	Tubulin alpha chain OS=Chlorella vulgaris OX=3077 GN=TUBA PE=3 SV=1 E(blastx)=4e-66
kb8_c38946	Benzoate transport protein OS=Acinetobacter baylyi (strain ATCC 33305 / BD413 / ADP1) OX=62977 GN=benK PE=3 SV=2 E(blastx)=7e-09
kb8_rep_c7749	Putative metal chaperone YciC OS=Bacillus subtilis (strain 168) OX=224308 GN=yciC PE=2 SV=1 E(blastx)=3e-30
kb8_c28382	Serine/threonine-protein phosphatase 6 regulatory ankyrin repeat subunit A OS=Homo sapiens OX=9606 GN=ANKRD28 PE=1 SV=5 E(blastx)=4e-05
kb8_c46510	Regulator of nonsense transcripts 1 homolog OS=Arabidopsis thaliana OX=3702 GN=UPF1 PE=1 SV=2 E(blastx)=2e-05
kb8_rep_c838	Calcium-dependent protein kinase 2 OS=Plasmodium falciparum (isolate 3D7) OX=36329 GN=CPK2 PE=2 SV=3 E(blastx)=3e-51
kb8_rep_c25423	Vacuolar protein sorting-associated protein 13D OS=Drosophila melanogaster OX=7227 GN=Vps13D PE=1 SV=3 E(blastx)=7e-08
kb8_c23968	Probable sodium/sulfate cotransporter 3 OS=Chlamydomonas reinhardtii OX=3055 GN=SLT3 PE=2 SV=1 E(blastx)=8e-23
kb8_c10613	Cyclic nucleotide-gated channel rod photoreceptor subunit alpha OS=Gallus gallus OX=9031 PE=2 SV=1 E(blastx)=3e-05
kb8_s57478	Casein kinase I isoform gamma-3 (Fragment) OS=Bos taurus OX=9913 GN=CSNK1G3 PE=2 SV=1 E(blastx)=3e-24
kb8_s68416	Endoplasmic reticulum-Golgi intermediate compartment protein 1 OS=Xenopus laevis OX=8355 GN=ergic1 PE=2 SV=1 E(blastx)=1e-05
kb8_c29581	Protein phosphatase 1 regulatory subunit 27 OS=Homo sapiens OX=9606 GN=PPP1R27 PE=1 SV=1 E(blastx)=2e-06
kb8_rep_c14707	Tubulin polyglutamylase TTLL4 OS=Homo sapiens OX=9606 GN=TTLL4 PE=1 SV=2 E(blastx)=2e-63
kb8_rep_c47928	Alpha-adducin OS=Rattus norvegicus OX=10116 GN=Add1 PE=1 SV=2 E(blastx)=5e-21
kb8_c12278	Choline transporter-like protein 5-B (Fragment) OS=Danio rerio OX=7955 GN=slc44a5b PE=3 SV=1 E(blastx)=5e-05
kb8_rep_c145	Fructose-bisphosphate aldolase OS=Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd) OX=71421 GN=fba PE=3 SV=1 E(blastx)=6e-136
kb8_rep_c51822	Fucoxanthin-chlorophyll a-c binding protein, chloroplastic OS=Chattonella marina var. antiqua OX=859642 PE=1 SV=1 E(blastx)=1e-18
kb8_rep_c1819	Zinc transporter ZIP12 OS=Bos taurus OX=9913 GN=SLC39A12 PE=2 SV=1 E(blastx)=2e-12
kb8_c36045	ABC transporter D family member 2, chloroplastic OS=Arabidopsis thaliana OX=3702 GN=ABCC2 PE=1 SV=1 E(blastx)=1e-18
kb8_c47681	DnaJ-like protein 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=DJP1 PE=1 SV=1 E(blastx)=3e-21
kb8_c45305	Calmodulin-binding transcription activator 4 OS=Arabidopsis thaliana OX=3702 GN=CAMTA4 PE=1 SV=1 E(blastx)=1e-60
kb8_rep_c6093	GDP-fucose transporter 1 OS=Arabidopsis thaliana OX=3702 GN=GFT1 PE=1 SV=1 E(blastx)=4e-10
kb8_rep_c24193	Polyubiquitin 11 OS=Arabidopsis thaliana OX=3702 GN=UBQ11 PE=2 SV=1 E(blastx)=6e-103
kb8_rep_c5834	Bone morphogenetic protein 1 homolog OS=Strongylocentrotus purpuratus OX=7668 PE=2 SV=1 E(blastx)=2e-14
kb8_rep_c19436	60S ribosomal protein L10 OS=Danio rerio OX=7955 GN=rpl10 PE=2 SV=1 E(blastx)=7e-74
kb8_rep_c2411	Voltage-dependent L-type calcium channel subunit alpha-1C OS=Oryctolagus cuniculus OX=9986 GN=CACNA1C PE=1 SV=1 E(blastx)=1e-05
kb8_c32406	Extended synaptotagmin-3 OS=Xenopus tropicalis OX=8364 GN=esyt3 PE=2 SV=1 E(blastx)=6e-31
kb8_c18461	Multidrug resistance-associated protein 1 OS=Canis lupus familiaris OX=9615 GN=ABCC1 PE=1 SV=1 E(blastx)=1e-97
kb8_rep_c410	Extended synaptotagmin-3 OS=Xenopus tropicalis OX=8364 GN=esyt3 PE=2 SV=1 E(blastx)=9e-16
kb8_rep_c56322	Protein terminal ear1 homolog OS=Oryza sativa subsp. indica OX=39946 GN=PLA2 PE=2 SV=1 E(blastx)=1e-18
kb8_c10731	Poly [ADP-ribose] polymerase tankyrase OS=Caenorhabditis elegans OX=6239 GN=tank-1 PE=2 SV=1 E(blastx)=2e-10
kb8_rep_c2074	28 kDa inner dynein arm light chain, axonemal OS=Chlamydomonas reinhardtii OX=3055 GN=IDA4 PE=1 SV=1 E(blastx)=1e-73
kb8_c26484	58 kDa phosphoprotein OS=Plasmodium berghei OX=5821 PE=1 SV=1 E(blastx)=2e-05
kb8_rep_c61906	Ribulose bisphosphate carboxylase, chloroplastic OS=Heterocapsa triquetra OX=66468 GN=rbcL PE=2 SV=1 E(blastx)=4e-77
kb8_c32401	Probable glycosyltransferase 6 OS=Oryza sativa subsp. indica OX=39946 GN=GT6 PE=3 SV=1 E(blastx)=5e-05
kb8_rep_c20284	Probable S-adenosylmethionine carrier 2, chloroplastic OS=Arabidopsis thaliana OX=3702 GN=SAMC2 PE=2 SV=1 E(blastx)=5e-14
kb8_s52686	Sodium/calcium exchanger 3 OS=Homo sapiens OX=9606 GN=SLC8A3 PE=1 SV=2 E(blastx)=3e-12
kb8_c28101	Chaperone protein DnaJ OS=Mycoplasma hyopneumoniae (strain 232) OX=295358 GN=dnaJ PE=3 SV=2 E(blastx)=3e-14
kb8_rep_c7849	Phospholipase ABHD3 OS=Homo sapiens OX=9606 GN=ABHD3 PE=2 SV=2 E(blastx)=1e-10
kb8_rep_c53542	Adenine/guanine permease AZG1 OS=Arabidopsis thaliana OX=3702 GN=AZG1 PE=2 SV=1 E(blastx)=6e-34
kb8_c37811	NLR family CARD domain-containing protein 3 OS=Homo sapiens OX=9606 GN=NLRC3 PE=1 SV=2 E(blastx)=9e-14
kb8_rep_c48503	Fucoxanthin-chlorophyll a-c binding protein A, chloroplastic OS=Macrocystis pyrifera OX=35122 GN=FCPA PE=2 SV=1 E(blastx)=7e-16
kb8_c47139	Probable E3 ubiquitin-protein ligase HECTD2 OS=Pongo abelii OX=9601 GN=HECTD2 PE=2 SV=1 E(blastx)=7e-10
kb8_c43998	Pentatricopeptide repeat-containing protein At2g31400, chloroplastic OS=Arabidopsis thaliana OX=3702 GN=At2g31400 PE=2 SV=1 E(blastx)=1e-16
kb8_rep_c5838	Calcium-dependent protein kinase 2 OS=Plasmodium falciparum (isolate 3D7) OX=36329 GN=CPK2 PE=2 SV=3 E(blastx)=2e-64
kb8_rep_c3068	Cytochrome c oxidase assembly protein COX11, mitochondrial OS=Homo sapiens OX=9606 GN=COX11 PE=1 SV=3 E(blastx)=2e-56
kb8_rep_c2151	Zinc transporter ZupT OS=Oceanobacillus iheyensis (strain DSM 14371 / CIP 107618 / JCM 11309 / KCTC 3954 / HTE831) OX=221109 GN=zupT PE=3 SV=1 E(blastx)=1e-44
kb8_c50178	Probable serine/threonine-protein kinase SIS8 OS=Arabidopsis thaliana OX=3702 GN=SIS8 PE=1 SV=1 E(blastx)=2e-17
kb8_c11410	Kinesin-like protein KIF1B OS=Homo sapiens OX=9606 GN=KIF1B PE=1 SV=5 E(blastx)=7e-60
kb8_c22512	Potassium channel AKT2 OS=Oryza sativa subsp. japonica OX=39947 GN=Os05g0428700 PE=2 SV=1 E(blastx)=4e-12
kb8_c6239	RING-H2 finger protein ATL74 OS=Arabidopsis thaliana OX=3702 GN=ATL74 PE=2 SV=1 E(blastx)=2e-08
kb8_s52169	Type-3 glutamine synthetase OS=Dictyostelium discoideum OX=44689 GN=glnA3 PE=1 SV=1 E(blastx)=2e-22
kb8_rep_c10698	Sodium channel protein type 8 subunit alpha OS=Rattus norvegicus OX=10116 GN=Scn8a PE=1 SV=1 E(blastx)=5e-07
kb8_rep_c3197	Phosphatidylinositol/phosphatidylcholine transfer protein SFH2 OS=Arabidopsis thaliana OX=3702 GN=SFH2 PE=3 SV=1 E(blastx)=6e-26
kb8_c24823	Syntaxin-43 OS=Arabidopsis thaliana OX=3702 GN=SYP43 PE=2 SV=2 E(blastx)=5e-17
kb8_s55105	Multidrug resistance-associated protein 5 OS=Homo sapiens OX=9606 GN=ABCC5 PE=1 SV=2 E(blastx)=3e-06
kb8_c20089	Phospholipase D1 OS=Homo sapiens OX=9606 GN=PLD1 PE=1 SV=1 E(blastx)=2e-10
kb8_rep_c16342	Protein BOBBER 2 OS=Arabidopsis thaliana OX=3702 GN=BOB2 PE=2 SV=1 E(blastx)=5e-05
kb8_s62051	Carbonic anhydrase 2 OS=Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv) OX=83332 GN=mtcA2 PE=1 SV=1 E(blastx)=2e-14
kb8_c45963	Ankyrin repeat and KH domain-containing protein mask OS=Drosophila melanogaster OX=7227 GN=mask PE=1 SV=2 E(blastx)=6e-08
kb8_c36286	Anaphase-promoting complex subunit 6 OS=Arabidopsis thaliana OX=3702 GN=APC6 PE=2 SV=1 E(blastx)=5e-89
kb8_c13016	Probable alpha-1,6-mannosyltransferase MNN10 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=MNN10 PE=1 SV=1 E(blastx)=2e-06
kb8_s53710	Nitrate transporter 2.1 OS=Chlamydomonas reinhardtii OX=3055 GN=NRT2.1 PE=2 SV=1 E(blastx)=4e-09
kb8_rep_c3712	Cell wall alpha-1,3-glucan synthase mok11 OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=mok11 PE=3 SV=2 E(blastx)=4e-27
kb8_c45635	Elongator complex protein 3 OS=Bos taurus OX=9913 GN=ELP3 PE=2 SV=2 E(blastx)=7e-06
kb8_c26065	HBS1-like protein OS=Mus musculus OX=10090 GN=Hbs1l PE=1 SV=2 E(blastx)=5e-50
kb8_s57575	Calcium-dependent protein kinase 3 OS=Plasmodium falciparum (isolate 3D7) OX=36329 GN=CPK3 PE=1 SV=1 E(blastx)=3e-29
kb8_rep_c61155	Probable ammonia channel OS=Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv) OX=83332 GN=amt PE=3 SV=1 E(blastx)=6e-18
kb8_rep_c2323	Chaperone protein DnaJ OS=Thermoplasma volcanium (strain ATCC 51530 / DSM 4299 / JCM 9571 / NBRC 15438 / GSS1) OX=273116 GN=dnaJ PE=3 SV=1 E(blastx)=6e-16
kb8_s67806	4-diphosphocytidyl-2-C-methyl-D-erythritol kinase, chloroplastic OS=Oryza sativa subsp. japonica OX=39947 GN=ISPE PE=2 SV=1 E(blastx)=3e-17
